windows_min_Groove Coaster,windows_min_Groove Coaster,windows_req_Groove Coaster,windows_req_Groove Coaster
процессор,intel core 2 duo 2.4 ghz or amd athlon x2 4800+,процессор,intel core i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 9800m gts 1024mb or ati radeon hd 5750 / 6670 1024mb,видео карта,nvidia geforce gtx 280
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_RUMBLE,windows_min_RUMBLE
операционная система,windows 10
процессор,"intel i3-6100 / amd ryzen 3 1200, fx4350"
оперативная память,8 gb
видео карта,nvidia gtx 1050 ti/amd radeon rx 470
сеть,широкополосное подключение
,
windows_min_Port Royale 3,windows_min_Port Royale 3,windows_req_Port Royale 3,windows_req_Port Royale 3
операционная система,windowx xp / vista / 7,операционная система,windows 7
процессор,dualcore cpu,процессор,quadcore cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"shader model 2.0 pcie (geforce 7 series, radeon x2000-series)",видео карта,"shader model 3.0 pcie, directx 10"
directx,dx90c,directx,dx10
диск,3 gb hd space,диск,3 gb hd space
,,,
windows_min_Teleglitch: Die More Edition,windows_min_Teleglitch: Die More Edition,macos_min_Teleglitch: Die More Edition,macos_min_Teleglitch: Die More Edition,linux_min_Teleglitch: Die More Edition,linux_min_Teleglitch: Die More Edition
операционная система,windows xp,операционная система,os x mountain lion (version 10.8),операционная система,ubuntu 12.04
процессор,3000 mhz,процессор,3000 mhz,процессор,3000 mhz
оперативная память,1024 mb,оперативная память,1024 mb,оперативная память,1024 mb
видео карта,geforce 6600 (direct3d/opengl compatible card with at least 256mb),видео карта,geforce 6600 (direct3d/opengl compatible card with at least 256mb),видео карта,geforce 6600 (opengl compatible card with at least 256mb)
directx,9.0c,диск,100 mb hd space,диск,100 mb hd space
диск,100 mb hd space,звуковая карта,2d sound compatible card,звуковая карта,2d sound compatible card
,,,,,
