windows_min_PixelJunk™ Shooter,windows_min_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter
windows_min_RC Simulation 2.0,windows_min_RC Simulation 2.0,macos_min_RC Simulation 2.0,macos_min_RC Simulation 2.0,linux_min_RC Simulation 2.0,linux_min_RC Simulation 2.0
операционная система,windows 7,операционная система,os x 10.9 or higher,операционная система,steamos
процессор,intel quad core 2.4 ghz,процессор,intel core i5 1.6ghz,процессор,intel core i5 1.6ghz
оперативная память,8 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"gtx 960m / radeon hd 7xxx, 1024+ mb video card memory",видео карта,1 gb video card,видео карта,"gtx 960m / radeon hd 7xxx, 1024+ mb video card memory"
directx,version 10,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,диск,2 gb,диск,2 gb
диск,2 gb,,,,
,,,,,
windows_min_Klepto,windows_min_Klepto,windows_req_Klepto,windows_req_Klepto
операционная система,"64bit windows 7, 8, 10",операционная система,"64bit windows 7, 8, 10"
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,intel core i7
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher,видео карта,nvidia geforce gtx 980
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
,,,
windows_min_Death Stair,windows_min_Death Stair,windows_req_Death Stair,windows_req_Death Stair
операционная система,windows 7,операционная система,windows 7
процессор,2.0ghz dual core,процессор,2.0ghz quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gtx 260 or ati 4850,видео карта,"nvidia gtx 660, ati 7950"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,2 gb
,,,
windows_min_Carmageddon Max Pack,windows_min_Carmageddon Max Pack
операционная система,windows xp/vista/7
процессор,"(dosbox software mode) 1.8ghz, (dosbox 3dfx mode) intel core 2 duo e8400 or amd phenom 9600"
оперативная память,2 gb
видео карта,"(dosbox software mode) nvidia geforce 7300 series, ati radeon™ x1600 video card with 256mb, (dosbox 3dfx mode) amd radeon hd3850 or geforce 8800gtx"
directx,version 9.0c
диск,240 mb
,
windows_min_Paw Patrol: On A Roll!,windows_min_Paw Patrol: On A Roll!,windows_req_Paw Patrol: On A Roll!,windows_req_Paw Patrol: On A Roll!
операционная система,windows 7 / 8 / 10,операционная система,windows 10
процессор,intel core 2 quad q6600 (2.4 ghz) or amd equivalent,процессор,"intel i5, 4 x 2.6 ghz or amd equivalent"
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gt 430 (1024 mb),видео карта,radeon hd 6850 (1024 mb)
directx,version 9.0c,directx,version 11
диск,3 gb,диск,5 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_CodeSpells,windows_min_CodeSpells,windows_req_CodeSpells,windows_req_CodeSpells
операционная система,mac os x 10.7+,операционная система,mac os x 10.7+
процессор,2 ghz dual core,процессор,3 ghz quad core
оперативная память,4 gb,оперативная память,8 gb
directx,version 9.0,directx,version 11
,,,
windows_min_Hentai vs Virus: I Am Waifu,windows_min_Hentai vs Virus: I Am Waifu,windows_req_Hentai vs Virus: I Am Waifu,windows_req_Hentai vs Virus: I Am Waifu
операционная система,windows 7,операционная система,windows 7 and later
процессор,intel core i3 4170 or amd fx-8120,процессор,intel core i5 8400 or amd ryzen 5 2600
оперативная память,4 gb,оперативная память,6 gb
видео карта,geforce gtx 460 or radeon hd 5850,видео карта,geforce gtx 960 or radeon hd 7950
,,,
