процессор,intel pentium d 830 (2* 3000) / amd athlon 64 4000+ (2600),процессор,intel pentium d 830 (2* 3000) / amd athlon 64 4000+ (2600),процессор,intel pentium d 830 (2* 3000) / amd athlon 64 4000+ (2600)
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,cga graphics card or higher,видео карта,cga graphics card or higher,видео карта,cga graphics card or higher
диск,280 mb,диск,280 mb,диск,280 mb
,,,,,
windows_min_Shadowgrounds Survivor,windows_min_Shadowgrounds Survivor
операционная система,mac os x 10.6.5 - unfortunately os x 10.9 not supported
процессор,intel mac
оперативная память,1 gb
видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia)*
directx,9.0
звуковая карта,directx compatible sound card
диск,1gb
,
windows_min_Army Men RTS,windows_min_Army Men RTS
операционная система,windows xp / vista / 7 / 10
процессор,1.4 ghz or faster
оперативная память,512 mb
видео карта,3d graphics card compatible with directx 9.0
directx,version 9.0
диск,350 mb
,
windows_min_Immortals Fenyx Rising,windows_min_Immortals Fenyx Rising,windows_req_Immortals Fenyx Rising,windows_req_Immortals Fenyx Rising
операционная система,windows 7 ( versions),операционная система,windows 10 ( versions)
процессор,amd fx 6300 @ 3.5 ghz or intel core i5-2400 @ 3.1 ghz.,процессор,amd fx 8350 @ 4.0 ghz or intel core i7-3770 @ 3.4 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,amd r9 280x (3 gb) or nvidia geforce gtx 660 (2 gb),видео карта,amd r9 290 (4 gb) or nvidia geforce gtx 970 (4gb)
directx,version 11,directx,version 11
диск,33 gb,диск,33 gb
,,,
