windows_min_Chopper To Hell,windows_min_Chopper To Hell,windows_req_Chopper To Hell,windows_req_Chopper To Hell
диск,60 gb,диск,60 gb
,,,
windows_min_CroNix - Silver starter Pack,windows_min_CroNix - Silver starter Pack,windows_req_CroNix - Silver starter Pack,windows_req_CroNix - Silver starter Pack
операционная система,window xp sp 3 or higher,операционная система,window xp sp 3 or higher
процессор,dual 2.4ghz,процессор,i3 3.0ghz
оперативная память,2 mb,оперативная память,4 mb
видео карта,geforce 9600 gt or radeon hd 3600,видео карта,geforce gtx 260 or radeon ht 4870
directx,version 9.0c,directx,version 9.0c
диск,3 mb,диск,3 mb
,,,
windows_min_CTU: Counter Terrorism Unit,windows_min_CTU: Counter Terrorism Unit,windows_req_CTU: Counter Terrorism Unit,windows_req_CTU: Counter Terrorism Unit
операционная система,windows 7 or above (all os must be 64bit),операционная система,windows 7 or above (all os must be 64bit)
процессор,intel core i3 2.4ghz,процессор,intel core i5 3ghz or above
оперативная память,4 gb,оперативная память,6 gb
видео карта,dedicated graphics card with 1 gb memory,видео карта,dedicated graphics card with 2 gb memory
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_LEGO Batman 3: Beyond Gotham DLC: Batman 75th Anniversary,windows_min_LEGO Batman 3: Beyond Gotham DLC: Batman 75th Anniversary,windows_req_LEGO Batman 3: Beyond Gotham DLC: Batman 75th Anniversary,windows_req_LEGO Batman 3: Beyond Gotham DLC: Batman 75th Anniversary
операционная система,10.9.5,операционная система,10.10
процессор,1.8 ghz,процессор,2.4 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,256mb vram*,видео карта,512mb vram*
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_Paladin Duty - Knights and Blades,windows_min_Paladin Duty - Knights and Blades
операционная система,windows 7
процессор,core i3
оперативная память,2 gb
видео карта,nvidia 625m or higher
directx,version 11
,
windows_min_Koihime Enbu RyoRaiRai † ,windows_min_Koihime Enbu RyoRaiRai † 
операционная система,windows vista / 7 / 8.1 / 10
процессор,intel core i3 2ghz or faster
оперативная память,3 gb
видео карта,intel(r) hd graphics 3000
directx,version 9.0c
сеть,широкополосное подключение
диск,4 gb
звуковая карта,directsound
,
windows_min_Yandere Escape,windows_min_Yandere Escape,windows_req_Yandere Escape,windows_req_Yandere Escape
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,intel core i5-7200u,процессор,any intel core higher than i5
оперативная память,1 gb,оперативная память,2 gb
видео карта,the graphics card should not be slower than gtx 750ti !,видео карта,it is recommended to play this game on a 16: 9 monitor screen.
directx,version 9.0,directx,version 10
диск,700 mb,диск,1 gb
звуковая карта,a default soundcard to play normal music and sound noises ...,звуковая карта,—
,,,
windows_min_Elite Warriors: Vietnam,windows_min_Elite Warriors: Vietnam,windows_req_Elite Warriors: Vietnam,windows_req_Elite Warriors: Vietnam
операционная система,windows xp / vista / 7 / 8 / 10,операционная система,windows: xp / vista / 7 / 8 / 10
